Valve size(inches),Lift,Seat dia(Non presure balance),Seat dia( presure balance),maximum Kv values,SteamDia(mm),SleeveDia(mm),Trim
1,20,25,0,1.6,10,0,P1
1,20,25,0,2.5,10,0,P1
1,20,25,0,4,10,0,P1
1,20,25,0,7,10,0,P1
1.5,20,40,0,7,14,0,P1
1,20,25,0,11,10,0,P1
1.5,20,40,0,11,14,0,P1
1.5,20,40,0,18,14,0,P1
2,30,50,0,18,14,0,P1
2,30,50,0,26,14,0,P1
2,30,50,0,43,14,0,P1
3,30,80,0,43,14,0,P1
3,30,80,0,68,14,0,P1
4,30,100,0,68,14,0,P1
3,30,80,0,100,14,0,P1
4,30,100,0,100,14,0,P1
4,30,100,0,150,14,0,P1
6,60,150,0,150,20,0,P1
6,60,150,0,260,20,0,P1
8,60,200,0,380,20,0,P1
6,60,150,0,260,20,0,P1
8,60,200,0,380,20,0,P1
8,60,200,0,650,20,0,P1
10,100,250,0,900,20,0,P1
