Temperature°C,150,300,600,900,1500,2500,4500
-29,15.9,41.4,82.7,124.1,206.8,344.7,620.5
38,15.9,41.4,82.7,124.1,206.8,344.7,620.5
50,15.6,40.6,81.3,121.9,203.2,338.7,609.6
100,14.5,37.8,75.6,113.4,189,315,567
150,13.7,35.9,71.7,107.6,179.3,298.9,538
200,13,33.9,67.9,101.8,169.6,282.7,508.9
250,12.1,32.3,64.5,96.8,161.3,268.9,484
300,10.2,30.7,61.5,92.2,153.7,256.2,461.2
325,9.3,30.1,60.1,90.2,150.3,250.5,450.9
350,8.4,29.4,58.8,88.3,147.1,245.2,441.3
375,7.4,28.7,57.4,86.2,143.6,239.4,430.8
400,6.5,28.3,56.5,84.8,141.3,235.6,424
425,5.5,27.7,55.3,83,138.4,230.6,415.1
450,4.6,27.2,54.4,81.7,136.1,226.8,408.3
475,3.7,26.8,53.5,80.3,133.9,223.1,401.6
500,2.8,26.3,52.6,79,131.6,219.4,394.9
538,1.4,25.2,50,75.2,125.5,208.9,375.8
550,1.4,25,49.8,74.8,124.9,208,374.2
575,1.4,24,47.9,71.8,119.7,199.5,359.1
600,1.4,21.6,42.9,64.2,107,178.5,321.4
625,1.4,18.3,36.6,54.9,91.2,152,273.8
650,1.4,14.1,28.1,42.5,70.7,117.7,211.7
675,1.4,12.4,25.2,37.6,62.7,104.5,187.9
700,1.4,10.1,20,29.8,49.7,83,149.4
725,1.4,7.9,15.4,23.2,38.6,64.4,115.8
750,1.4,5.9,11.7,17.6,29.6,49.1,88.2
775,1.4,4.6,9,13.7,22.8,38,68.4
800,1.2,3.5,7,10.5,17.4,29.2,52.6
816,1,2.8,5.9,8.6,14.1,23.8,42.7
