LIFT,ACTUATOR NAME,Spring End Range in kg/cm2,Diaphragm in cms2,Initial spring rage in kg/cm2,Final spring rage in kg/cm2,Force in Kgf for FTC,FPS->,LIFT,ACTUATOR NAME,Spring End Range in kg/cm2,Diaphragm in cms2,Initial spring rage inPSIG,Final spring rage inPSIG,Force in lbs for FTC,NoofSprings
20,SSP0-20.S1-1.8-C,1.8,210,1,1.8,378,,20,SSP0-20.S14.5-26-C,26,210,14.5,26,833,1
20,SSP1-20.S0.2-1-C,1,320,0.2,1,64,,20,SSP1-20.S2.9-14.5-C,14.5038,320,2.9,14.5038,141,1
20,SSP1-20.S0.4-1.2-C,1.2,320,0.4,1.2,128,,20,SSP1-20.S5.8-17.4-C,17.40456,320,5.8,17.40456,282,1
20,SSP1-20.S0.6-1.4-C,1.4,320,0.6,1.4,192,,20,SSP1-20.S8.7-20.3-C,20.30532,320,8.7,20.30532,423,1
20,SSP1-20.S0.8-1.6-C,1.6,320,0.8,1.6,256,,20,SSP1-20.S11.6-23.2-C,23.20608,320,11.6,23.20608,564,1
20,SSP1-20.S1-1.8-C,1.8,320,1,1.8,320,,20,SSP1-20.S14.5-26.1-C,26.10684,320,14.5,26.10684,705,1
20,SSP1-20.R1.2-2.25-C,2.25,320,1.2,2.25,384,,20,SSP1-20.R17.4-32.6-C,32.63355,320,17.4,32.63355,847,1
20,SSP1-20.R1.4-2.45-C,2.45,320,1.4,2.45,448,,20,SSP1-20.R20.3-35.5-C,35.53431,320,20.3,35.53431,988,1
20,SSP1-20.R1.6-2.65-C,2.65,320,1.6,2.65,512,,20,SSP1-20.R23.2-38.4-C,38.43507,320,23.2,38.43507,1129,1
20,SSP1-20.R1.8-2.25-C,2.25,320,1.8,2.25,576,,20,SSP1-20.R26.1-32.6-C,32.63355,320,26.1,32.63355,1270,1
20,SSP2-30.S0.8-1.6-C,1.6,720,0.8,1.6,576,,20,SSP2-30.S11.6-23.2-C,23.20608,720,11.6,23.20608,1270,1
20,SSP2-30.S1-1.8-C,1.8,720,1,1.8,720,,20,SSP2-30.S14.5-26.1-C,26.10684,720,14.5,26.10684,1587,1
20,SSP2-30.R1.2-2-C,2,720,1.2,2,864,,20,SSP2-30.R17.4-29.0-C,29.0076,720,17.4,29.0076,1905,1
20,SSP2-30.R1.4-2.2-C,2.2,720,1.4,2.2,1008,,20,SSP2-30.R20.3-31.9-C,31.90836,720,20.3,31.90836,2222,1
20,SSP2-30.R1.6-2.4-C,2.4,720,1.6,2.4,1152,,20,SSP2-30.R23.2-34.8-C,34.80912,720,23.2,34.80912,2540,1
20,SSP2-30.R1.8-2.6-C,2.6,720,1.8,2.6,1296,,20,SSP2-30.R26.1-37.7-C,37.70988,720,26.1,37.70988,2857,1
20,SSP2-30.R2-2.8-C,2.8,720,2,2.8,1440,,20,SSP2-30.R29.0-40.6-C,40.61064,720,29,40.61064,3175,1
20,SSP2-30.R2.2-3-C,3,720,2.2,3,1584,,20,SSP2-30.R31.9-43.5-C,43.5114,720,31.9,43.5114,3492,1
30,SSP1-30.S0.2-1-C,1,320,0.2,1,64,,30,SSP1-30.S2.9-14.5-C,14.5038,320,2.9,14.5038,141,1
30,SSP1-30.S0.4-1.2-C,1.2,320,0.4,1.2,128,,30,SSP1-30.S5.8-17.4-C,17.40456,320,5.8,17.40456,282,1
30,SSP1-30.S0.6-1.4-C,1.4,320,0.6,1.4,192,,30,SSP1-30.S8.7-20.3-C,20.30532,320,8.7,20.30532,423,1
30,SSP1-30.S0.8-1.6-C,1.6,320,0.8,1.6,256,,30,SSP1-30.S11.6-23.2-C,23.20608,320,11.6,23.20608,564,1
30,SSP1-30.S1-1.8-C,1.8,320,1,1.8,320,,30,SSP1-30.S14.5-26.1-C,26.10684,320,14.5,26.10684,705,1
30,SSP1-20.R1.2-2.8-C,2.8,320,1.2,2.25,384,,30,SSP1-20.R17.4-32.6-C,40.61064,320,17.4,40.61064,847,1
30,SSP1-20.R1.4-3-C,3,320,1.4,2.45,448,,30,SSP1-20.R20.3-35.5-C,43.5114,320,20.3,43.5114,988,1
30,SSP2-30.S0.8-1.6-C,1.6,720,0.8,1.6,576,,30,SSP2-30.S11.6-23.2-C,23.20608,720,11.6,23.20608,1270,1
30,SSP2-30.S1-1.8-C,1.8,720,1,1.8,720,,30,SSP2-30.S14.5-26.1-C,26.10684,720,14.5,26.10684,1587,1
30,SSP2-30.R1.2-2-C,2,720,1.2,2,864,,30,SSP2-30.R17.4-29.0-C,29.0076,720,17.4,29.0076,1905,1
30,SSP2-30.R1.4-2.2-C,2.2,720,1.4,2.2,1008,,30,SSP2-30.R20.3-31.9-C,31.90836,720,20.3,31.90836,2222,1
30,SSP2-30.R1.6-2.4-C,2.4,720,1.6,2.4,1152,,30,SSP2-30.R23.2-34.8-C,34.80912,720,23.2,34.80912,2540,1
30,SSP2-30.R1.8-2.6-C,2.6,720,1.8,2.6,1296,,30,SSP2-30.R26.1-37.7-C,37.70988,720,26.1,37.70988,2857,1
30,SSP2-30.R2-2.8-C,2.8,720,2,2.8,1440,,30,SSP2-30.R29.0-40.6-C,40.61064,720,29,40.61064,3175,1
30,SSP2-30.R2.2-3-C,3,720,2.2,3,1584,,30,SSP2-30.R31.9.43.5-C,43.5114,720,31.9,43.5114,3492,1
30,SSP3-60.R1.2-2.45-C,2.45,1440,1.2,2.45,1728,,30,SSP3-60.R17.4-35.5-C,35.53431,1440,17.4,35.53431,3810,1
30,SSP3-60.R1.4-2.65-C,2.65,1440,1.4,2.65,2016,,30,SSP3-60.R20.3-38.4-C,38.43507,1440,20.3,38.43507,4445,1
30,SSP3-60.R1.6-2.85-C,2.85,1440,1.6,2.85,2304,,30,SSP3-60.R23.2-41.3-C,41.33583,1440,23.2,41.33583,5079,1
30,SSP3-60.R1.75-3-C,3,1440,1.75,3,2520,,30,SSP3-60.R25.4-43.5-C,43.5114,1440,25.375,43.5114,5556,1
30,SSP3-60.R2.4-4.5-C,4.5,1440,2.4,4.5,3456,,30,SSP3-60.R34.8-65.3-C,65.2671,1440,34.8,65.2671,7619,1
30,SSP3-60.R2.9-4.55-C,4.55,1440,2.9,4.55,4176,,30,SSP3-60.R42.1-66.0-C,65.99229,1440,42.05,65.99229,9207,1
60,SSP2-60.S0.2-1-C,1,720,0.2,1,144,,60,SSP2-60.S2.9-14.5-C,14.5038,720,2.9,14.5038,317,1
60,SSP2-60.S0.4-1.2-C,1.2,720,0.4,1.2,288,,60,SSP2-60.S5.8-17.4-C,17.40456,720,5.8,17.40456,635,1
60,SSP2-60.S0.6-1.4-C,1.6,720,0.6,1.4,432,,60,SSP2-60.S8.7-20.3-C,23.20608,720,8.7,23.20608,952,1
60,SSP2-60.S0.8-1.6-C,1.6,720,0.8,1.6,576,,60,SSP2-60.S11.6-23.2-C,23.20608,720,11.6,23.20608,1270,1
60,SSP2-60.R1-2.6-C,2.6,720,1,2.6,720,,60,SSP2-60.R14.5-37.7-C,37.70988,720,14.5,37.70988,1587,1
60,SSP2-30.R1.2-2.8-C,2.8,720,1.2,2.8,864,,60,SSP2-30.R17.4-40.6-C,40.61064,720,17.4,40.61064,1905,1
60,SSP2-30.R1.4-3-C,3,720,1.4,3,1008,,60,SSP2-30.R20.3-43.5-C,43.5114,720,20.3,43.5114,2222,1
60,SSP3-60.S0.8-1.6-C,1.6,1440,0.8,1.6,1152,,60,SSP3-60.S11.6-23.2-C,23.20608,1440,11.6,23.20608,2540,1
60,SSP3-60.S1-1.8-C,1.8,1440,1,1.8,1440,,60,SSP3-60.S14.5-26.1-C,26.10684,1440,14.5,26.10684,3175,1
60,SSP3-60.R1.2-2.45-C,2.45,1440,1.2,2.45,1728,,60,SSP3-60.R17.4-35.5-C,35.53431,1440,17.4,35.53431,3810,1
60,SSP3-60.R1.4-2.65-C,2.65,1440,1.4,2.65,2016,,60,SSP3-60.R20.3-38.4-C,38.43507,1440,20.3,38.43507,4445,1
60,SSP3-60.R1.6-2.85-C,2.85,1440,1.6,2.85,2304,,60,SSP3-60.R23.2-41.3-C,41.33583,1440,23.2,41.33583,5079,1
60,SSP3-60.R1.75-3-C,3,1440,1.75,3,2520,,60,SSP3-60.R25.4-43.5-C,43.5114,1440,25.375,43.5114,5556,1
60,SSP3-60.R2.4-4.5-C,4.5,1440,2.4,4.5,3456,,60,SSP3-60.R34.8-65.3-C,65.2671,1440,34.8,65.2671,7619,1
60,SSP3-60.R2.9-4.55-C,4.55,1440,2.9,4.55,4176,,60,SSP3-60.R42.1-66.0-C,65.99229,1440,42.05,65.99229,9207,1
100,SSP3-100.S0.2-1-C,1,1440,0.2,1,288,,100,SSP3-100.S2.9-14.5-C,14.5038,1440,2.9,14.5038,635,1
100,SSP3-100.S0.4-1.2-C,1.2,1440,0.4,1.2,576,,100,SSP3-100.S5.8-17.4-C,17.40456,1440,5.8,17.40456,1270,1
