TOP Bonnet TYPE,END CONNECTION,BODY MAT.,Plug ,Seat,TOP MAT.,GASKET MAT.,PAINTING,POSITIONER,SOV,AFR,ALR,Limit switch Box,VOL. BOOSTER,Pos. Trans,V.TANK.,ROBOTOR,I to P,Q.E.V.,CERTIFICATION,Handwheel,Tubing,Guiding ,Positioner Make,AFR Make,ALR Make,SOV Make,VB Make,Limit Switch Make,QEV Make
STD.,FLANGED RF,A216 WCB,HAST-C,SS317 NITR,A216 WCB,PTFE,STD,820-PP,WP8320B174,67CFR,PL 10S,NLL1,FM-14VB,BUILT-IN,NA,NA,77-12,3340A,IBR+NACE,W/O,8mm OD SS316  CONN SS304,SINGLE,FM,ASCO,PLACKA,ASCO,FM,BCH,SCHRADER DUNCAN
EXT.,BWE,A351 CE8MN (SS DUPLEX),SS321-nitr.,A276 SS317,A351 CE8MN (SS DUPLEX),Graphite,HIGH TEMP.,830-WP,NF8327A001,67DFR,PL 20S,NLL2,PE-1000,RMG-UPT-EX-0501,Yes,00203-03,V18311H-18-29101,3340C,NACE MR 01 75,TOP MOUNTED,6mm OD SS316 CONN SS304,DOUBLE,FM,ASCO,PLACKA,ASCO,PHILVIN,BCH,SCHRADER DUNCAN
BELLOW,SWE,A217 WC6,SS321,SS317 STEL,A217 WC6,SS316 + PTFE,AS PER CUSTOMER SEPCT.,830-EX,WPB307B75U,B73G-3AK-QD1-RMG,YT-405SN1,NLL1-22,YT-320N1,UPT-0501,,00206-08,3311DS1L1B1,,DEGREASING+RADIOGRAPHY (ANSI B16.34),FM SIDE MOUNTED,6mm SNDVIK/SWAGELOK SS316,,FM,NORGREN,YTC,ASCO,YTC,BCH,
,FLANGED FF,A217 WC9,SS321 STEL,17-4 PH,A217 WC9,SS316 + Graphite,,831-WP,NF8320A200MB,B73G-3AK-QM1-RMG,YT-430SN1,NLL2-22,,,,00205-08,771-S,,RADIOGRAPHY (ANSI B16.34)+IBR+MP+LP+UT+SEAT HARDNESS TEST+KV TESTING,,8mm SANDVIK/SWAGELOK SS316,,FM,NORGREN,YTC,ASCO,,BCH,
,FLANGED RTJ,A217 C12A,SS440C HARDENED,SS DUPLEX (ASTM A182 GR. F53),A217 C12A,SS304 + PTFE,,8400SHNNE,NF8307C19,B73G-3AK-QM1-RMN,,JLSL1,,,,00205-05,TA 6100411,,RADIOGRAPHY (ANSI B16.34)+IBR,,1/4inch OD SS316  CONN SS304,,FM,NORGREN,,ASCO,,JAI BALAJI,
,SCREWED END,A217 C5,SS440C,ALLOY-20,A217 C5,SS304 + Graphite,,8400SHNNW,NFB327A002,B73G-2AK-AD1-RMG,,EPHA-A,,,,00204-08,1425,,RADIOGRAPHY (ANSI B16.34)+IBR+UT+LP,,1/2inch OD SS316 CONN SS304,,FM,NORGREN,,ASCO,,JAI BALAJI,
,,A351 CF8M,SS317 NITR,SS DUPLEX (ASTM A182 GR. F51),A351 CF8M INV,,,8400SHNTW,WP8327A002,B74G-4AK-AD1-RMG,,NBN25-30GM50-US,,,,00204-05,773-F,,NIBR+RADIOGRAPHY (ANSI B16.34)+MP+UT+PMI+LP+HARDNESS TEST,,1/4inch SNDVIK/SWAGELOK SS316,,FM,NORGREN,,ASCO,,ROTEX,
,,A351 CF8,A276 SS317,1.4922 NITR,A351 CF8M,,,8400SHHTW,NF8320A184M0,B73G-2AK-DM1-RMG,,NBB8-18GM60-US,,,,00204-03,77-16,,RADIOGRAPHY (ANSI B16.34)+NIBR,,1/2inch SANDVIK/SWAGELOK SS316,,FM,NORGREN,,ASCO,,ROTEX,
,,A351 CF3,SS317 STEL,STELLITE 6B,A351 CF8 INV,,,8400SHNTE,WST8327B002,FPR-2,,NBB5-18GM40-Z0,,,,00203-05,77-13,,NIBR+EN CERTIFICATION (10204 3.1)+RADIOGRAPHY (ANSI B16.34),,12mm OD SS316  CONN SS304,,FM,PLACKA,,ASCO,,ROTEX,
,,A351 CF3M,17-4 PH,SS DUPLEX (2205),A351 CF8,,,8400SHHNE,WST8320A200,FPR-3,,DNLF-1A-2-4R,,,,,,,RADIOGRAPHY (ANSI B16.34)+IBR,,12mm SNDVIK/SWAGELOK SS316,,FM,PLACKA,,ASCO,,ROTEX,
