VALVESIZEinch,VALVESIZEmm,SEATDIA,SEATDIA PR. BAL,STEM DIAMETER,STEM DIAMETER PRBL,LINKVMIN,LINKVMAX,EQKVMIN,EQKVMAX,FLINKVMIN,FLINKVMAX,FEQKVMIN,FEQKVMAX
0.5,15,20,0,14,0,1.25,3,1.25,2.5,1.46,3.51,1.46,2.93
1,25,20,0,14,0,1.25,3,1.25,2.5,1.46,3.51,1.46,2.93
1,25,25,0,14,0,1.25,6.3,1.25,6.3,1.46,7.37,1.46,7.37
1.5,40,25,0,14,0,1.25,6.3,1.25,6.3,1.46,7.37,1.46,7.37
1.5,40,36,0,14,0,2.5,16,2.5,16,2.93,18.72,2.93,18.72
2,50,36,0,14,0,2.5,16,2.5,16,2.93,18.72,2.93,18.72
2,50,46,0,14,0,4,25,4,25,4.68,29.25,4.68,29.25
2,50,50,0,14,0,6.3,40,6.3,25,7.37,46.8,7.37,29.25
2.5,65,36,0,14,0,2.5,16,2.5,16,2.93,18.72,2.93,18.72
2.5,65,46,0,14,0,4,25,4,25,4.68,29.25,4.68,29.25
2.5,65,50,0,14,0,6.3,40,6.3,25,7.37,46.8,7.37,29.25
3,80,50,80,20,0,21,40,25,25,24.57,46.8,29.25,29.25
3,80,80,80,20,0,21,100,25,55,24.57,117,29.25,64.35
4,100,80,100,20,0,21,100,25,55,24.57,117,29.25,64.35
4,100,100,100,20,0,25,120,25,63,29.25,140.4,29.25,73.71
6,150,90,143,20,0,50,170,50,125,58.5,198.9,58.5,146.25
6,150,113,143,20,0,75,260,90,150,87.75,304.2,105.3,175.5
6,150,143,143,20,0,110,380,100,210,128.7,444.6,117,245.7
8,200,113,172,20,0,75,260,90,150,87.75,304.2,105.3,175.5
8,200,143,172,20,0,110,380,100,210,128.7,444.6,117,245.7
8,200,172,172,20,0,125,450,125,260,146.25,526.5,146.25,304.2
10,250,143,220,30,0,110,380,150,320,128.7,444.6,175.5,374.4
10,250,172,220,30,0,200,650,320,380,234,760.5,374.4,444.6
10,250,220,220,30,0,275,900,320,520,321.75,1053,374.4,608.4
12,300,172,282,30,0,200,650,320,380,234,760.5,374.4,444.6
12,300,220,282,30,0,275,900,320,520,321.75,1053,374.4,608.4
12,300,282,282,30,0,400,1300,320,720,468,1521,374.4,842.4
14,350,220,313,30,0,275,900,320,520,321.75,1053,374.4,608.4
14,350,282,313,30,0,400,1300,320,720,468,1521,374.4,842.4
14,350,313,313,30,0,550,1800,320,850,643.5,2106,374.4,994.5
16,400,282,400,30,0,350,1400,750,750,409.5,1638,877.5,877.5
16,400,313,400,30,0,550,1800,750,900,643.5,2106,877.5,1053
16,400,400,400,30,0,750,2500,750,1250,877.5,2925,877.5,1462.5
