VALVESIZE,SEATDIA,LINKVMIN,LINKVMAX,EQKVMIN,EQKVMAX,LINCVMIN,LINCVMAX,EQCVMIN,EQCVMAX
0.50,20.00,1.25,3.00,1.25,2.50,1.46,3.51,1.46,2.93
1.00,20.00,1.25,3.00,1.25,2.50,1.46,3.51,1.46,2.93
1.00,25.00,1.25,6.30,1.25,6.30,1.46,7.37,1.46,7.37
1.50,25.00,1.25,6.30,1.25,6.30,1.46,7.37,1.46,7.37
1.50,36.00,2.50,16.00,2.50,16.00,2.93,18.72,2.93,18.72
2.00,36.00,2.50,16.00,2.50,16.00,2.93,18.72,2.93,18.72
2.00,46.00,4.00,25.00,4.00,25.00,4.68,29.25,4.68,29.25
2.00,50.00,6.30,40.00,6.30,25.00,7.37,46.80,7.37,29.25
2.50,36.00,2.50,16.00,2.50,16.00,2.93,18.72,2.93,18.72
2.50,46.00,4.00,25.00,4.00,25.00,4.68,29.25,4.68,29.25
2.50,50.00,6.30,40.00,6.30,25.00,7.37,46.80,7.37,29.25
3.00,50.00,21.00,40.00,25.00,25.00,24.57,46.80,29.25,29.25
3.00,80.00,21.00,100.00,25.00,55.00,24.57,117.00,29.25,64.35
4.00,80.00,21.00,100.00,25.00,55.00,24.57,117.00,29.25,64.35
4.00,100.00,25.00,120.00,25.00,63.00,29.25,140.40,29.25,73.71
6.00,90.00,50.00,170.00,50.00,125.00,58.50,198.90,58.50,146.25
6.00,113.00,75.00,260.00,90.00,150.00,87.75,304.20,105.30,175.50
6.00,143.00,110.00,380.00,100.00,210.00,128.70,444.60,117.00,245.70
8.00,113.00,75.00,260.00,90.00,150.00,87.75,304.20,105.30,175.50
8.00,143.00,110.00,380.00,100.00,210.00,128.70,444.60,117.00,245.70
8.00,172.00,125.00,450.00,125.00,260.00,146.25,526.50,146.25,304.20
10.00,143.00,110.00,380.00,150.00,320.00,128.70,444.60,175.50,374.40
10.00,172.00,200.00,650.00,320.00,380.00,234.00,760.50,374.40,444.60
10.00,220.00,275.00,900.00,320.00,520.00,321.75,1053.00,374.40,608.40
12.00,172.00,200.00,650.00,320.00,380.00,234.00,760.50,374.40,444.60
12.00,220.00,275.00,900.00,320.00,520.00,321.75,1053.00,374.40,608.40
12.00,282.00,400.00,1300.00,320.00,720.00,468.00,1521.00,374.40,842.40
14.00,220.00,275.00,900.00,320.00,520.00,321.75,1053.00,374.40,608.40
14.00,282.00,400.00,1300.00,320.00,720.00,468.00,1521.00,374.40,842.40
14.00,313.00,550.00,1800.00,320.00,850.00,643.50,2106.00,374.40,994.50
16.00,282.00,350.00,1400.00,750.00,750.00,409.50,1638.00,877.50,877.50
16.00,313.00,550.00,1800.00,750.00,900.00,643.50,2106.00,877.50,1053.00
16.00,400.00,750.00,2500.00,750.00,1250.00,877.50,2925.00,877.50,1462.50
