VALVESIZEinch,VALVESIZEmm,SEATDIA,SEATDIA PR. BAL,STEM DIAMETER(NON. PR. BAL.),STEM DIAMETER(PR. BAL.),LINKVMIN,LINKVMAX,EQKVMIN,EQKVMAX,LINCVMIN,LINCVMAX,EQKVMIN,EQKVMAX
1,25,16,0,20,0,1,3.5,0.63,2.7,1.17,4.095,0.7371,3.159
1,25,19,0,20,0,1.5,4.5,0.63,3.9,1.755,5.265,0.7371,4.563
1,25,24,0,20,0,2,6.7,1,5.5,2.34,7.839,1.17,6.435
1.5,40,32,0,20,0,5,15,5,15,5.85,17.55,5.85,17.55
1.5,40,37,0,20,0,6,20,7,17.8,7.02,23.4,8.19,20.826
2,50,32,0,20,0,5,15,5,15,5.85,17.55,5.85,17.55
2,50,37,0,20,0,6,20,7,17.8,7.02,23.4,8.19,20.826
3,80,45,73,25,25,10,35,10,25,11.7,40.95,11.7,29.25
3,80,60,73,25,25,20,60,15,40,23.4,70.2,17.55,46.8
3,80,75,73,25,25,30,90,20,55,35.1,105.3,23.4,64.35
4,100,75,90,40,25,30,90,20,55,35.1,105.3,23.4,64.35
4,100,90,90,40,25,50,160,25,65,58.5,187.2,29.25,76.05
4,100,130,90,40,25,60,200,35,85,70.2,234,40.95,99.45
6,150,90,143,40,25,35,130,40,95,40.95,152.1,46.8,111.15
6,150,120,143,40,25,80,280,50,125,93.6,327.6,58.5,146.25
6,150,160,143,40,25,140,400,60,170,163.8,468,70.2,198.9
8,200,190,172,60,40,180,600,80,280,210.6,702,93.6,327.6
10,250,220,220,60,40,180,630,80,300,210.6,737.1,93.6,351
