VALVESIZE,VALVESIZEmm,SEATDIA,SEATDIA PR. BAL,STEM DIA,STEM DIA PRBL,LINKVMIN,LINKVMAX,EQKVMIN,EQKVMAX,LINCVMIN,LINCVMAX,EQCVMIN,EQCVMAX
1,25,19,0,20,0,1.25,4,1.1,4,1.46,4.68,1.29,4.68
1,25,24,0,20,0,2.5,10,1.25,7,2.93,11.7,1.46,8.19
1,25,24,0,20,0,2.5,10,1.25,7,2.93,11.7,1.46,8.19
1.5,40,37,0,20,0,2.5,25,3,16,2.93,29.25,3.51,18.72
2,50,37,0,20,0,5.5,43,4,21,6.44,50.31,4.68,24.57
2,50,48,0,20,0,11,55,8,35,12.87,64.35,9.36,40.95
3,80,48,73,20,0,11,55,11,38,12.87,64.35,12.87,44.46
3,80,62,73,20,0,15,60,15,43,17.55,70.2,17.55,50.31
3,80,73,73,20,0,21,80,21,55,24.57,93.6,24.57,64.35
4,100,62,90,20,0,15,60,15,43,17.55,70.2,17.55,50.31
4,100,73,90,20,0,21,80,21,55,24.57,93.6,24.57,64.35
4,100,90,90,20,0,32,125,21,68,37.44,1462.5,24.57,79.56
6,150,90,143,20,0,50,170,50,125,58.5,198.9,58.5,146.25
6,150,113,143,20,0,75,260,90,150,87.75,304.2,105.3,175.5
6,150,143,143,20,0,110,380,100,210,128.7,444.6,117,245.7
8,200,113,172,20,0,75,260,90,150,87.75,304.2,105.3,175.5
8,200,143,172,20,0,110,380,100,210,128.7,444.6,117,245.7
8,200,172,172,20,0,125,450,125,260,146.25,526.5,146.25,304.2
