VALVESIZEinch,VALVESIZEmm,SEATDIA,SEATDIA PR. BAL,STEM DIAMETER(NON. PR. BAL.),STEM DIAMETER(PR. BAL.),LINKVMIN,LINKVMAX,EQKVMIN,EQKVMAX,LINCVMIN,LINCVMAX,EQCVMIN,EQCVMAX
1,25,16,0,20,0,1,2.1,0.63,1.2,1.17,2.457,0.7371,1.404
1,25,19,0,20,0,1.5,4.1,0.63,2.5,1.755,4.797,0.7371,2.925
1,25,24,0,20,0,2,6.1,1,3.5,2.34,7.137,1.17,4.095
1.5,40,32,0,20,0,5,13.8,2.5,8,5.85,16.146,2.925,9.36
1.5,40,37,0,20,0,6,17.9,3,10,7.02,20.943,3.51,11.7
2,50,32,0,20,0,5,13.8,2.5,8,5.85,16.146,2.925,9.36
2,50,37,0,20,0,6,17.9,4,10,7.02,20.943,4.68,11.7
3,80,45,73,25,25,8,15,6,10,9.36,17.55,7.02,11.7
3,80,60,73,25,25,10,25,6,12,11.7,29.25,7.02,14.04
3,80,75,73,25,25,14,35,8,16,16.38,40.95,9.36,18.72
4,100,75,90,40,25,14,35,8,16,16.38,40.95,9.36,18.72
4,100,90,90,40,25,25,70,12,30,29.25,81.9,14.04,35.1
4,100,130,90,40,25,30,100,20,40,35.1,117,23.4,46.8
6,150,90,143,40,25,20,60,20,40,23.4,70.2,23.4,46.8
6,150,120,143,40,25,50,125,28,55,58.5,146.25,32.76,64.35
6,150,160,143,40,25,70,170,38,75,81.9,198.9,44.46,87.75
8,200,190,172,60,40,125,420,0,0,146.25,491.4,0,0
10,250,220,220,60,40,180,660,0,0,210.6,772.2,0,0
