VALVESIZE,VALVESIZEmm,SEATDIA,SEATDIA PR. BAL,STEM DIA,STEM DIA PRBL,LINKVMIN,LINKVMAX,LINCVMIN,LINCVMAX
1,25,19,0,20,0,1.2,4.1,1.4,4.8
1,25,24,0,20,0,1.8,6.1,2.11,7.14
1,25,24,0,20,0,1.8,6.1,2.11,7.14
1.5,40,37,0,20,0,3,10.6,3.51,12.4
2,50,37,0,20,0,5.5,17.9,6.44,20.94
2,50,48,0,20,0,7,23.5,8.19,27.5
3,80,48,73,20,0,7,23.5,8.19,27.5
3,80,62,73,20,0,9,30.6,10.53,35.8
3,80,73,73,20,0,10,35.3,11.7,41.3
4,100,62,90,20,0,9,30.6,10.53,35.8
4,100,73,90,20,0,10,35.3,11.7,41.3
4,100,90,90,20,0,14,47.1,16.38,55.11
6,150,90,143,20,0,30,103,35.1,120.51
6,150,113,143,20,0,40,132,46.8,154.44
6,150,143,143,20,0,51,171,59.67,200.07
8,200,113,172,20,0,40,132,46.8,154.44
8,200,143,172,20,0,51,171,59.67,200.07
8,200,172,172,20,0,62,209,72.54,244.53
