Valve size(inches),Lift,Seat dia (Non presure balance) (mm),Seat dia( presure balance),maximum Kv values,StemDia(mm),SleeveDia(mm),
1,10,12,0,0.1,20,NA,M3
1,10,12,0,0.16,20,NA,M3
1,10,12,0,0.25,20,NA,M3
1,10,12,0,0.4,20,NA,M3
1,20,16,0,0.63,20,NA,P3
1,20,16,0,1,20,NA,P3
1.5,20,24,0,1,20,NA,P3
2,20,24,0,1,20,NA,P3
1,20,16,0,1.6,20,NA,P3
1.5,20,24,0,1.6,20,NA,P3
2,20,24,0,1.6,20,NA,P3
2,20,24,0,2.3,20,NA,P3
1,20,16,0,2.5,20,NA,P3
1.5,20,24,0,2.5,20,NA,P3
2,20,24,0,3,20,NA,P3
1,20,16,0,4,20,NA,P3
1.5,20,24,0,4,20,NA,P3
2,20,24,0,4,20,NA,P3
3,30,37,0,4,20,NA,P3
2,20,32,0,5.5,20,NA,P3
1.5,20,24,0,7,20,NA,P3
2,20,24,0,7,20,NA,P3
3,30,37,0,7,20,NA,P3
2,20,32,0,10,20,NA,P3
3,30,48,0,16,20,NA,P3
3,30,48,0,24,20,NA,P3
4,30,62,0,32,20,NA,P3
3,30,62,0,39,20,NA,P3
4,30,73,0,58,20,NA,P3
6,60,113,0,63,20,NA,P3
6,60,90,0,75,20,NA,P3
6,60,113,0,90,20,NA,P3
6,60,90,0,110,20,NA,P3
