Valve size in mm,Valve size in inches,150,300,600,900,1500,2500
15,0.5,12.7,12.7,12.7,12.7,12.7,12.7
20,0.75,19.1,19.1,19.1,17.5,17.5,17.5
25,1,25.4,25.4,25.4,25.4,25.4,25.4
32,1.25,31.8,31.8,31.8,31.8,31.8,31.8
40,1.5,38.1,38.1,38.1,38.1,38.1,38.1
50,2,50.8,50.8,50.8,50.8,50.8,50.8
65,2.5,63.5,63.5,63.5,63.5,63.5,63.5
80,3,76.2,76.2,76.2,76.2,76.2,76.2
100,4,101.6,101.6,101.6,101.6,101.6,101.6
125,5,127,127,127,127,127,127
150,6,152.4,152.4,152.4,152.4,152.4,152.4
200,8,203.2,203.2,203.2,203.2,203.2,203.2
250,10,254,254,254,254,254,254
300,12,304.8,304.8,304.8,304.8,304.8,304.8
350,14,355.6,355.6,355.6,355.6,355.6,355.6
400,16,406.4,406.4,406.4,406.4,406.4,406.4
450,18,457.2,457.2,457.2,457.2,457.2,457.2
500,20,508,508,508,508,508,508
550,22,558.8,558.8,558.8,558.8,558.8,558.8
600,24,609.6,609.6,609.6,609.6,609.6,609.6
650,26,660.4,660.4,660.4,660.4,660.4,660.4
700,28,711.2,711.2,711.2,711.2,711.2,711.2
750,30,762,762,762,762,762,762
