Valve size(inches),Lift,Seat dia(Non presure balance),Seat dia( presure balance),maximum Kv values,SteamDia(mm),SleeveDia(mm),
0.5,16,6,0,0.01,14,0,M1
1,16,6,0,0.01,14,0,M1
0.5,16,6,0,0.02,14,0,M1
1,16,6,0,0.02,14,0,M1
0.5,16,6,0,0.04,14,0,M1
1,16,6,0,0.04,14,0,M1
0.5,16,6,0,0.06,14,0,M1
1,16,6,0,0.06,14,0,M1
0.5,16,6,0,0.1,14,0,M1
1,16,6,0,0.1,14,0,M1
0.5,16,6,0,0.16,14,0,M1
1,16,6,0,0.16,14,0,M1
0.5,16,5,0,0.25,14,0,P1
1,16,5,0,0.25,14,0,P1
0.5,16,5,0,0.4,14,0,P1
1,16,5,0,0.4,14,0,P1
0.5,16,5,0,0.63,14,0,P1
1,16,5,0,0.63,14,0,P1
0.5,16,8,0,1,14,0,P1
1,16,8,0,1,14,0,P1
0.5,16,10,0,1.6,14,0,P1
1,16,10,0,1.6,14,0,P1
0.5,16,12,0,2.5,14,0,P1
1,16,12,0,2.5,14,0,P1
0.5,16,15,0,4,14,0,P1
1,16,15,0,4,14,0,P1
1,16,20,0,6.3,14,0,P1
1.5,16,20,0,6.3,14,0,P1
1,16,25,0,10,14,0,P1
1.5,16,25,0,10,14,0,P1
2,16,25,0,10,14,0,P1
1.5,16,30,0,16,14,0,P1
2,16,30,0,16,14,0,P1
1.5,16,36,0,25,14,0,P1
2,16,36,0,25,14,0,P1
2.5,16,36,0,25,14,0,P1
2,16,46,0,40,14,0,P1
2.5,16,46,0,40,14,0,P1
3,30,46,80,40,20,80,P1
2.5,16,50,0,63,14,0,P1
3,30,50,80,63,20,80,P1
4,30,50,100,63,20,100,P1
3,30,80,80,100,20,80,P1
4,30,80,100,100,20,100,P1
6,60,90,143,150,20,143,P1
4,30,100,100,160,20,100,P1
6,60,113,143,260,20,143,P1
8,60,113,172,260,20,172,P1
6,60,143,143,380,20,143,P1
8,60,143,172,380,20,172,P1
10,100,143,220,380,30,220,P1
8,60,172,172,650,20,172,P1
10,100,172,220,650,30,220,P1
12,100,172,282,650,30,282,P1
10,100,220,220,900,30,220,P1
12,100,220,282,900,30,282,P1
14,100,220,313,900,30,313,P1
12,100,282,282,1300,30,282,P1
14,100,282,313,1300,30,313,P1
16,120,282,400,1300,30,400,P1
14,100,313,313,1800,30,313,P1
16,120,313,400,1800,30,400,P1
16,120,400,400,2500,30,400,P1
