Valve size(inches),Lift,Seat dia(Non presure balance) (mm),Seat dia( presure balance),maximum Kv values,StemDia(mm),SleeveDia(mm),
1,20,6,0,0.01,20,0,M1
1,20,6,0,0.02,20,0,M1
1,20,6,0,0.04,20,0,M1
1,20,6,0,0.06,20,0,M1
1,20,6,0,0.1,20,0,M1
1,20,6,0,0.16,20,0,M1
1,20,6,0,0.25,20,0,M1
1,20,5,0,0.4,20,0,P1
1,20,6,0,0.63,20,0,P1
1,20,7,0,1,20,0,P1
1,20,8.5,0,1.6,20,0,P1
1,20,11,0,2.5,20,0,P1
1,20,16,0,4,20,0,P1
1,20,19,0,7,20,0,P1
1,20,24,0,11,20,0,P1
1.5,20,24,0,7,20,0,P1
1.5,20,24,0,11,20,0,P1
1.5,20,32,0,18,20,0,P1
1.5,20,37,0,26,20,0,P1
2,30,32,0,18,20,0,P1
2,30,37,0,26,20,0,P1
2,30,48,0,43,20,0,P1
3,30,48,73,43,20,73,P1
3,30,62,73,68,20,73,P1
3,30,73,73,100,20,73,P1
4,30,62,90,68,20,90,P1
4,30,73,90,100,20,90,P1
4,30,90,90,150,20,90,P1
6,60,90,143,150,20,143,P1
6,60,113,143,260,20,143,P1
6,60,143,143,380,20,143,P1
8,60,113,172,260,20,172,P1
8,60,143,172,380,20,172,P1
8,60,172,172,650,20,172,P1
