VALVESIZE,VALVESIZEmm,SEATDIA,SEATDIA PR. BAL,STEM DIA,STEM DIA PRBL,LINKVMIN,LINKVMAX,LINCVMIN,LINCVMAX
1,25,19,0,22,0,1.2,4.1,1.4,4.8
1,25,24,0,22,0,1.8,6.1,2.1,7.1
1.5,40,32,0,22,0,3,10.8,3.5,12.5
1.5,40,37,0,22,0,3,14,3.5,12.4
2,50,32,0,22,0,3,10.8,3.5,12.5
2,50,37,0,22,0,5.5,17.9,6.4,20.9
2,50,48,0,22,0,7,23.5,8.2,27.5
3,80,48,73,22,0,7,23.5,8.2,27.5
3,80,62,73,22,0,9,30.6,10.5,35.8
3,80,73,73,22,0,10,35.3,11.7,41.3
4,100,62,90,22,0,9,30.6,10.5,35.8
4,100,73,90,22,0,10,35.3,11.7,41.3
4,100,90,90,22,0,14,47.1,16.4,55.1
6,150,90,143,32,0,30,103,35.1,120.5
6,150,113,143,32,0,40,132,46.8,154.4
6,150,143,143,32,0,51,171,59.7,200.1
8,200,113,172,32,0,40,132,46.8,154.4
8,200,143,172,32,0,51,171,59.7,200.1
8,200,172,172,32,0,62,209,72.5,244.5
10,250,143,220,32,0,80,270,93.6,315.9
10,250,172,220,32,0,118,395,138.1,462.2
10,250,220,220,32,0,142,476,166.1,556.9
