Temperature  Celsius,Vapour Pressure BarA,Critical Pressure BarA,Density Kg/m3,Sp.Gravity,hf (Btu/lb),hfg (Btu/lb),vf m3/kg,vg m3/kg,Dynamic Viscocity cp,Kinematic Viscocity m2/s
0.0000,0.005587393,220.4,999.9040574,0.999904057,-0.0179,1075.1,0.001000096,206.1371306,1,1.0001E-06
0.5556,0.005835604,220.4,999.9040574,0.999904057,0.9916,1074.5,0.001000096,198.3960633,1,1.0001E-06
1.1111,0.006096226,220.4,999.9040574,0.999904057,2.0000,1073.9,0.001000096,190.9671359,1,1.0001E-06
1.6667,0.006365811,220.4,999.9040574,0.999904057,3.0080,1073.3,0.001000096,183.8503482,1,1.0001E-06
2.2222,0.00664229,220.4,999.9040574,0.999904057,4.0140,1072.8,0.001000096,177.0457003,1,1.0001E-06
2.7778,0.00693187,220.4,999.9040574,0.999904057,5.0200,1072.2,0.001000096,170.5531923,1,1.0001E-06
3.3333,0.007235238,220.4,999.9040574,0.999904057,6.0260,1071.6,0.001000096,164.3103961,1,1.0001E-06
3.8889,0.007545502,220.4,999.9040574,0.999904057,7.0300,1071.1,0.001000096,158.3173117,1,1.0001E-06
4.4444,0.007862661,220.4,999.9040574,0.999904057,8.0340,1070.5,0.001000096,152.5115112,1,1.0001E-06
5.0000,0.008200504,220.4,999.9040574,0.999904057,9.0380,1069.9,0.001000096,147.0178506,1,1.0001E-06
5.5556,0.008538346,220.4,999.9040574,0.999904057,10.0400,1069.4,0.001000096,141.7114738,1,1.0001E-06
6.1111,0.008896873,220.4,999.9040574,0.999904057,11.0400,1068.8,0.001000096,136.6548089,1,1.0001E-06
6.6667,0.009262295,220.4,999.9040574,0.999904057,12.0500,1068.3,0.001000096,131.7854279,1,1.0001E-06
7.2222,0.009648401,220.4,999.9040574,0.999904057,13.0500,1067.7,0.001000096,127.1033307,1,1.0001E-06
7.7778,0.010041402,220.4,999.9040574,0.999904057,14.0500,1067.1,0.001000096,122.6085174,1,1.0001E-06
8.3333,0.010448192,220.4,999.9040574,0.999904057,15.0500,1066.6,0.001000096,118.3009881,1,1.0001E-06
